"Nectar Plant Species",0-20m,20-40m,40-60m,60-80m,80-100m
"white clover",172,267,165,375,350
"alfalfa",194,75,24,3,5
"red clover",43,30,54,46,7
"yellow sweet clover",0,0,1,2,0
