"section",csg,wsg,forbs,milkweed,woody_species,bare_ground,leaf_litter,litter_depth
"0m",16,0,86,0,0,16,63,.25
"10m",16,0,86,0,0,38,38,0
"20m",3,0,86,0,0,38,63,.25
"30m",1,0,86,0,0,38,38,0
"40m",3,0,63,0,0,63,3,0
"50m",16,0,38,0,0,16,38,.25
"60m",16,0,63,0,0,16,38,.25
"70m",63,0,16,0,0,3,63,.5
"80m",16,0,63,0,0,16,63,.5
"90m",16,0,38,0,0,16,63,.5
