Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m
common milkweed ramet,0,0,0,0,0,0,0
swamp milkweed ramet,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0
ox eye sunflower,5,5,3,2,5,2,8
purple prairie clover,0,0,0,0,0,0,1
red clover,4,4,8,6,1,1,2
stiff goldenrod,0,7,0,0,0,0,0
yellow coneflower,3,4,5,4,9,6,6
