Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m
common milkweed ramet,7,0,0,NA,NA
swamp milkweed ramet,0,0,0,NA,NA
butterfly milkweed ramet,0,0,0,NA,NA
canada thistle,2,0,0,NA,NA
giant ragweed,0,60,110,NA,NA
ironweed,6,3,0,NA,NA
ox eye sunflower,27,4,0,NA,NA
yellow coneflower,19,0,0,NA,NA
