"Start Time",10:45AM
"Bee Species","Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m
"solitary bee","wild bergamot",3,0,0,0,1
"solitary bee","yellow coneflower",1,0,0,0,0
"solitary bee","ox eye sunflower",0,0,0,1,0
"honey bee","wild bergamot",2,0,0,0,0
