"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m
"common milkweed ramet",0,0,0,1,0,4,2
"swamp milkweed ramet",0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0
"yellow coneflower",57,66,18,40,65,10,40
"ox eye sunflower",7,0,0,18,22,39,35
"prickly lettuce",0,0,0,20,0,40,0
"red clover",0,3,0,0,4,12,1
"virginia mountain mint",0,0,3,0,0,0,0
"showy tick trefoil",0,0,0,10,0,0,0
"common cinquefoil",0,0,0,0,0,0,16
