"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,1,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"yellow coneflower",195,200,215,255,200,340,105,130,135,35
"wild bergamot",2,0,0,0,0,196,0,1,10,0
"ox eye sunflower",45,30,40,65,0,4,35,13,35,65
"red clover",10,10,5,0,0,0,0,5,5,10
"white clover",10,0,45,30,0,55,70,20,45,0
"alfalfa",0,4,0,0,0,0,0,0,0,0
"canada thistle",0,0,0,0,1,0,0,0,0,0
"black eyed susan",0,0,0,0,0,0,15,0,0,0
"swamp milkweed",0,0,0,0,0,0,0,2,0,0
"foxglove beardtongue",0,0,0,0,0,0,0,0,5,0
