"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed",0,0,0,0,0
"swamp milkweed",0,0,0,0,0
"butterfly milkweed",0,0,0,0,0
"pennsylvania smartweed",26,57,37,3,0
"common dandelion",1,8,3,5,0
"white clover",0,0,3,0,0
"red clover",0,0,0,0,11
