"section",csg,wsg,forbs,milkweed,woody_species,bare_ground,leaf_litter,litter_depth
"0m",86,0,3,0,0,1,98,.5
"10m",16,16,38,0,0,1,86,2
"20m",16,38,16,0,0,1,86,2
"30m",16,38,16,0,0,1,86,1
"40m",16,3,38,0,0,1,63,2
