"wind",moderate_breeze
"sky",mostly_clear
"temp",77
"start_time",7:56AM
"end_time",8:16AM
"extra_monarch",0
"0-20m",0
"20-40m",0
"40-50m",0
"watch_monarch",0
"stems",0
