"wind",calm
"sky",mostly_cloudy
"temp",69
"start_time",8:10AM
"end_time",8:30AM
"extra_monarch",0
"0-20m",0
"20-40m",0
"40-60m",0
"60-80m",0
"80-100m",0
"watch_monarch",0
"stems",0
