"section",csg,wsg,forbs,milkweed,woody_species,bare_ground,leaf_litter,litter_depth
"0m",0,86,3,0,0,1,86,1
"10m",63,38,0,0,0,1,63,2.5
"20m",38,16,3,0,0,1,86,2.5
"30m",63,16,16,0,0,3,63,.5
"40m",63,0,16,0,0,16,63,.5
"50m",98,0,16,0,0,16,38,1
"60m",86,0,16,0,0,16,16,.5
"70m",86,0,3,3,0,16,38,1
