"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m
"wild parsnip",0,18,8,0,9
"hoary vervain",0,0,0,0,8
"red clover",1,10,0,63,11
"eastern daisy fleabane",0,0,0,1,0
"chicory",0,1,0,0,0
