Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m
common milkweed ramet,0,2,6,7,5
swamp milkweed ramet,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0
yellow coneflower,216,253,119,138,330
red clover,8,48,15,3,10
white sweet clover,25,0,0,0,0
ox eye sunflower,39,94,59,21,15
virginia mountain mint,23,0,0,0,0
blue vervain,8,12,1,29,17
eastern daisy fleabane,0,17,0,0,0
wild bergamot,0,0,4,0,0
purple prairie clover,0,0,0,10,0
ironweed,0,0,0,3,22
