"section",csg,wsg,forbs,milkweed,woody_species,bare_ground,leaf_litter,litter_depth
"0m",3,0,38,0,0,38,3,0
"10m",3,0,63,0,0,38,16,0
"20m",3,0,63,0,0,38,16,0
"30m",3,0,63,0,0,38,3,0
"40m",3,0,63,0,0,38,16,0
"50m",16,0,63,0,0,38,16,.5
"60m",3,0,38,0,0,63,3,.5
"70m",16,0,86,0,0,3,38,.5
"80m",16,0,86,0,0,38,16,.5
"90m",16,0,38,0,0,38,38,.5
