"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m
"common milkweed ramet",2,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0
"foxglove beardtongue",29,102,17,36,0,1
"red colver",19,6,3,8,50,17
"white clover",6,12,0,2,0,0
"golden alexanders",6,0,1,1,2,2
"milkweed strip: common milkweed ramet",2,3,0,0,0
