"Start Time",2:05PM
"Bee Species","Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"solitary bee","marijuana",2,1,0,1,0,0,0,0,0,0
"solitary bee","marestail",4,3,2,3,0,12,4,17,1,0
"solitary bee","hoary vervain",0,1,2,0,0,0,0,0,0,0
"honey bee","hoary vervain",0,0,1,0,0,0,0,0,0,0
"bumble bee","musk thistle",0,0,0,0,1,0,0,1,0,1
"solitary bee","canada thistle",0,0,0,0,0,0,1,0,0,0
