"Start Time",12:28PM
"Bee Species","Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"solitary bee","white clover",2,0,0,0,0,0,0,0,0,0
"solitary bee","marestail",0,0,0,0,9,2,5,3,2,0
"solitary bee","partridge pea",0,0,0,0,0,1,0,0,0,0
"solitary bee","yellow coneflower",0,0,0,0,0,0,1,3,0,0
"solitary bee","field thistle",0,0,0,0,0,0,0,2,1,1
"solitary bee","ox eye sunflower",0,0,0,0,0,0,0,1,0,0
"bumble bee","field thistle",0,0,0,0,0,0,0,0,0,2
