"Nectar Plant Species",0-20m,20-40m,40-60m,60-70m
"red clover",58,55,20,42
"white clover",33,31,25,2
"eastern daisy fleabane",0,0,5,0
"common dandelion",0,0,2,2
"common cinquefoil",0,0,1,25
