"Nectar Plant Species",0-20m,20-40m,40-60m
"red clover",360,450,247
"alfalfa",19,0,1
"carolina horsenettle",0,8,1
"morning glory",15,13,0
"common milkweed",0,3,0
"canada thistle",5,13,0
