"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,2,1,3,0,0,1,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"wild bergamot",500,310,283,120,380,260,200,200,240,170
"ox eye sunflower",0,70,34,30,25,4,20,0,0,75
"yellow cone flower",1,2,0,0,10,0,0,0,0,0
"red clover",0,0,11,0,0,0,0,0,0,0
"canada thistle",0,0,0,0,0,0,11,2,0,0
