Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
common milkweed ramet,6,1,0,7,2,3,1,9,0,11
swamp milkweed ramet,0,0,0,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0,0,0,0
canada thistle,0,23,20,0,2,3,0,0,0,4
hedge bindweed,0,0,0,4,0,0,1,1,0,0
ox eye sunflower,7,3,17,5,2,2,2,3,0,2
wild bergamot,15,3,40,30,25,25,30,22,8,3
yellow coneflower,0,2,5,5,3,2,0,4,0,0
