"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m
"common milkweed ramet",0,0,0,3,1,3,3
"swamp milkweed ramet",7,18,6,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0
"prairie blazing star",4,0,0,0,0,0,0
"yellow coneflower",200,110,160,80,140,100,205
"swamp milkweed",16,10,0,0,0,0,0
"ox eye sunflower",10,0,0,27,0,3,14
"purple prairie clover",0,8,0,0,0,0,0
