"section",csg,wsg,forbs,milkweed,woody_species,bare_ground,leaf_litter,litter_depth
"0m",86,0,3,0,0,1,3,.25
"10m",98,0,1,0,0,1,3,1
"20m",98,0,0,0,0,1,3,1.5
"30m",98,0,0,0,0,1,3,.5
"40m",98,0,0,0,0,1,3,.5
