"section",csg,wsg,forbs,milkweed,woody_species,bare_ground,leaf_litter,litter_depth
"0m",86,0,3,0,0,0,98,4
"10m",63,0,16,0,0,16,86,1
"20m",86,0,16,0,0,3,86,3
"30m",86,0,16,0,0,3,63,1
"40m",63,0,38,16,0,16,63,1
"50m",63,0,63,1,0,16,63,1
