"Start Time",11:35AM
"Nectar Plant Species","Pollinator Species",0-20m,20-40m,40-60m,60-80m,80-100m
"blue wild indigo","honey bee",0,1,0,0,0
"unknown","solitary bee",0,0,1,0,0
