“Nectar Plant Species”,0-10m,10-20m,20-30m,30-40m,40-50m
“common milkweed ramet”,11,5,3,3,2
“swamp milkweed ramet”,0,0,0,1,0
“butterfly milkweed ramet”,0,0,0,0,0
"yellow wood sorrel",0,3,31,5,21
"black medic",0,0,6,0,0
"common mallow",0,0,2,0,0
"common cinquefoil",0,0,0,1,0
"common purslane",0,0,0,0,3
