Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m
common milkweed ramet,1,4,3,1,6,NA,NA
swamp milkweed ramet,0,0,0,0,0,NA,NA
butterfly milkweed ramet,0,0,0,0,0,NA,NA
birdsfoot trefoil,4,0,0,0,0,NA,NA
common dandelion,3,2,0,0,0,NA,NA
wild parsnip,24,72,54,45,52,NA,NA
