"section",csg,wsg,forbs,milkweed,woody_species,bare_ground,leaf_litter,litter_depth
"0m",63,0,38,0,0,1,86,2
"10m",38,0,86,0,0,1,86,1
"20m",38,0,63,0,0,1,86,<.5
"30m",63,0,38,0,0,1,86,2
"40m",98,0,3,0,0,1,86,<.5
"50m",63,0,38,0,0,1,86,4
"60m",38,0,63,0,0,1,86,2
"70m",86,0,16,0,0,1,86,3
"80m",63,0,3,0,0,1,98,4
"90m",63,0,38,0,0,1,98,3
