"section",csg,wsg,forbs,milkweed,woody_species,bare_ground,leaf_litter,litter_depth
"0m",86,3,1,1,0,3,86,.5
"10m",86,0,3,0,0,3,86,.5
"20m",16,63,1,3,0,16,38,.5
"30m",86,0,3,1,0,16,86,.5
"40m",16,63,1,0,0,16,86,1
"50m",86,16,3,0,0,16,86,.5
"60m",86,16,0,0,0,1,86,.5
"70m",63,38,3,0,0,16,86,.5
