"section",csg,wsg,forbs,milkweed,woody_species,bare_ground,leaf_litter,litter_depth
"0m",86,0,1,0,0,1,86,5
"10m",86,0,0,0,0,1,86,3.5
"20m",98,0,3,0,0,1,86,5
"30m",86,0,16,0,0,1,63,3
"40m",86,0,0,0,0,3,86,1.5
"50m",98,0,0,0,0,16,63,1
"60m",98,0,0,0,0,3,86,1.5
"70m",98,0,3,0,0,3,63,2
"80m",98,0,3,0,0,16,63,1
"90m",98,0,38,0,0,38,16,1
