"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,2
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"eastern daisy fleabane",340,10,4,0,0,0,0,0,0,0
"yellow coneflower",110,80,95,75,105,35,80,55,55,175
"wild bergamot",70,10,5,10,0,35,5,28,35,17
"ox eye sunflower",40,10,20,12,13,9,25,5,10,20
"white clover",40,35,10,0,0,40,0,0,55,0
"common cinquefoil",170,0,12,0,25,0,0,0,0,0
"canada thistle",1,0,0,0,0,10,0,0,5,0
"musk thistle",1,0,0,1,0,0,9,20,0,0
"black medic",0,0,10,60,10,0,0,20,0,0
"nodding stickseed",0,0,0,70,0,0,0,0,0,0
"partridge pea",0,0,0,2,0,0,0,0,0,0
"common dandelion",0,0,0,1,1,0,0,0,1,0
"hoary vervain",0,0,0,0,12,6,0,0,3,4
"yellow sweet clover",0,0,0,0,6,0,0,0,0,0
"red clover",0,0,0,0,0,0,0,0,1,0
