"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",3,2,2,3,1,2,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"yellow coneflower",120,110,150,75,230,70,100,90,170,85
"ox eye sunflower",59,35,35,45,80,40,25,25,22,0
"white clover",130,90,100,65,40,30,150,220,250,150
"common cinquefoil",35,70,65,5,30,5,40,120,30,15
"hoary vervain",9,5,7,2,24,0,8,2,2,2
"wild bergamot",3,28,22,23,14,38,10,6,8,0
"canada thistle",0,1,0,0,0,4,0,0,0,0
"eastern daisy fleabane",0,2,0,0,0,0,0,0,0,0
"blue vervain",0,0,0,8,0,0,0,3,6,0
"black medic",0,0,0,0,10,0,0,0,0,0
"catnip",0,0,0,0,0,32,0,0,0,0
"pennsylvania smartweed",0,0,0,0,0,0,0,0,0,28
