"wind",light
"sky",mostly_cloudy
"temp",70
"start_time",12:44PM
"end_time",12:54PM
"extra_monarch",0
"0-10m",0
"10-20m",0
"20-30m",0
"30-40m",0
"40-50m",0
"watch_monarch",0
"stems",0
