Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m
common milkweed ramet,1,5,8,3,0,5,1
swamp milkweed ramet,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0
eastern daisy fleabane,0,0,0,0,0,1,0
hemp dogbane,0,1,0,0,2,1,2
ox eye sunflower,0,0,0,0,0,2,0
red clover,8,2,4,5,5,13,23
virginia mountain mint,22,2,0,0,6,0,4
white clover,3,7,0,13,5,13,17
white sweet clover,13,3,7,8,3,12,6
wild bergamot,2,0,0,0,0,0,0
winged loosestrife,8,0,0,18,0,22,24
yellow coneflower,0,3,13,0,0,4,0
