"section",csg,wsg,forbs,milkweed,woody_species,bare_ground,leaf_litter,litter_depth
"0m",86,0,0,0,0,0,86,1.5
"10m",86,16,0,0,0,0,86,4
"20m",86,3,0,0,0,3,86,11
"30m",63,16,0,0,0,3,63,7.5
"40m",86,16,0,0,0,0,86,1
"50m",63,0,0,0,0,1,86,5
"60m",86,0,0,0,0,0,86,7.5
"70m",86,0,0,0,0,0,86,5
"80m",63,16,0,0,0,0,86,2
"90m",86,16,0,0,0,0,86,1
