"Start Time",12:45PM
"Bee Species","Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m
"honey bee","yellow coneflower",1,1,0,0,0
"solitary bee","yellow coneflower",7,11,1,0,0
"solitary bee","wild bergamot",1,1,7,0,0
"solitary bee","blue vervain",0,1,0,0,0
