"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m
"common milkweed ramet",0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0
"black eyed susan",5,5,16,170,220
"wild bergamot",75,55,60,60,28
"yellow sweet clover",160,125,75,35,15
"yellow coneflower",21,15,30,30,30
"white sweet clover",1050,540,750,475,302
"ox eye sunflower",1,0,6,0,3
"common evening primrose",0,0,0,0,3
