"Nectar Plant Species",0-10m,10-20m,20-30m
"common milkweed ramet",15,1,0
"swamp milkweed ramet",0,0,0
"butterfly milkweed ramet",0,0,0
"hoary alyssum",215,390,340
"red clover",50,265,230
"ox eye sunflower",1,6,0
"hoary vervain",0,16,28
"yellow coneflower",0,24,14
"bladder campion",0,20,0
