"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m
"common milkweed ramet",0,4,0,0,0
"swamp milkweed ramet",0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0
"chicory",12,22,1,4,0
"wild parsnip",70,100,135,50,5
"red clover",40,30,11,20,35
"ox eye sunflower",2,1,0,0,3
"white sweet clover",0,13,15,40,30
"black eyed susan",0,0,1,0,2
"hoary vervain",0,0,0,6,0
"eastern daisy fleabane",0,0,0,70,0
"yellow sweet clover",0,0,0,10,0
