Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
common milkweed ramet,10,22,17,4,6,2,4,9,4,2
swamp milkweed ramet,0,0,0,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0,0,0,0
alfalfa,2,0,0,0,0,0,0,6,0,0
carolina horsenettle,3,0,0,1,0,0,0,0,0,0
hoary vervain,0,0,0,0,0,0,0,0,4,0
ox eye sunflower,4,1,1,2,0,0,2,0,2,2
queen annes lace,0,0,0,0,0,0,0,0,0,1
red clover,6,8,9,6,0,0,0,0,0,0
sulphur cinquefoil,0,0,1,0,0,0,0,0,0,0
virginia mountain mint,0,0,0,0,0,0,0,0,35,0
wild bergamot,13,26,36,5,0,10,19,6,23,11
yellow coneflower,41,24,39,35,6,11,21,41,13,18
yellow sweet clover,1,7,0,0,0,0,0,0,0,0
