"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m
"common milkweed ramet",2,3,0,1,2,0,2
"swamp milkweed ramet",7,3,0,2,1,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0
"yellow sweet clover",5,0,0,0,0,0,0
"pale purple coneflower",0,1,0,0,1,0,1
"white clover",0,20,0,10,0,0,0
"foxglove beardtongue",0,0,15,5,32,1,0
"common dandelion",0,0,2,0,0,0,0
"canada thistle",0,0,1,0,3,22,105
"rough avens",0,0,0,0,6,0,0
"ox eye sunflower",0,0,0,0,0,2,2
