"Start Time",11:00AM
"Bee Species","Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m
"solitary bee","wild bergamot",8,0,0,0,0
"honey bee","wild bergamot",2,0,0,0,0
"honey bee","yellow coneflower",1,0,0,0,0
"honey bee","ox eye sunflower",4,0,0,0,0
