Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
common milkweed ramet,0,0,2,0,0,0,4,4,2,1
swamp milkweed ramet,0,0,0,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0,0,0,0
black eyed susan,0,0,2,0,0,3,0,0,0,0
black medic,2,0,0,0,0,6,0,0,0,0
blue vervain,0,1,3,2,1,0,0,0,0,0
canada thistle,0,4,0,0,0,0,0,0,0,0
carolina horsenettle,0,0,2,0,0,0,0,11,54,3
crown vetch,0,3,5,0,0,1,0,0,0,0
frost aster,0,3,0,0,0,0,1,0,0,0
groundcherry,0,5,1,0,4,2,0,1,0,0
illinois bundleflower,0,0,2,5,0,0,0,0,13,0
ox eye sunflower,0,0,0,0,0,0,0,0,1,1
partridge pea,0,0,0,5,47,62,34,2,0,9
purple prairie clover,0,0,0,0,0,3,0,0,0,0
stiff goldenrod,0,0,0,0,0,0,3,0,0,0
white vervain,0,0,7,0,0,0,0,0,0,0
yellow coneflower,0,2,0,0,0,0,0,2,3,5
yellow sweet clover,3,0,0,0,0,0,0,0,0,0
