Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m
common milkweed ramet,7,0,0,0,1
swamp milkweed ramet,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0
yellow coneflower,165,196,175,178,175
ox eye sunflower,5,14,17,21,1
queen annes lace,1,0,0,0,0
purple prairie clover,0,15,46,0,0
wild bergamot,0,0,0,0,12
