"Nectar Plant Species",0-10m,10-20m,20-30m
"canada thistle",28,45,17
"yellow sweetclover",0,0,130
"red clover",35,20,0
"white clover",99,0,0
"alfalfa",20,0,0
"plantain",8,0,0
"blue vervain",0,2,2
"common milkweed",0,1,0
