"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m
"wild parsnip",136,18,4,0,3
"black eyed susan",1,28,68,12,1
"morning glory",0,1,0,0,0
"brown eyed susan",0,32,32,18,2
"sawtooth sunflower",0,0,2,6,0
"white clover",0,43,11,5,0
"purple prairie clover",0,0,10,0,0
"yellow sweet clover",0,0,10,0,0
