"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,4,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"queen annes lace",85,360,310,80,60,70,10,60,50,60
"red clover",0,40,70,80,5,50,0,11,0,10
"ox eye sunflower",0,0,0,3,3,8,5,0,0,0
"birdsfoot trefoil",21,50,70,182,10,0,0,0,0,0
"eastern daisy fleabane",0,50,20,10,70,20,0,15,60,40
"white clover",0,0,0,15,10,0,0,0,0,0
"yellow coneflower",0,0,0,0,0,0,0,2,0,0
"field thistle",0,0,0,0,0,0,0,0,30,0
