"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m
"common milkweed ramet",2,0,0,0,1,0
"swamp milkweed ramet",0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0
"birdsfoot trefoil",80,0,0,0,0,0
"red clover",50,40,22,41,48,63
"white clover",10,12,0,0,0,0
"wild bergamot",0,0,1,3,0,0
"ox eye sunflower",0,0,0,2,0,0
"yellow coneflower",0,0,0,0,0,1
"milkweed strip: common milkweed ramet",12,3,2,3,4,13
