"section",csg,wsg,forbs,milkweed,woody_species,bare_ground,leaf_litter,litter_depth
"0m",16,3,98,0,0,3,86,.25
"10m",16,3,86,0,0,3,86,.25
"20m",16,3,98,0,0,16,38,.25
"30m",86,0,3,0,0,3,86,1
"40m",86,16,38,0,0,16,86,.5
"50m",98,0,63,0,0,0,86,.5
"60m",38,16,86,0,0,0,86,1
"70m",86,3,16,0,0,0,86,1
"80m",86,16,63,0,0,0,86,1
"90m",86,0,86,0,0,16,63,.25
