"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m
"common milkweed ramet",0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0
"bladder campion",40,60,0,0,0
"white clover",65,110,160,190,121
"musk thistle",1,0,0,0,0
"common cinquefoil",0,39,0,2,9
"red clover",0,0,75,55,0
