"wind",moderate
"sky",mostly_clear
"temp",70
"start_time",11:09AM
"end_time",11:29AM
"extra_monarch",0
"0-20m",0
"20-40m",0
"40-60m",0
"60-80m",0
"80-100m",0
"watch_monarch",0
"stems",0
