"wind",moderate
"sky",mostly_clear
"temp",67
"start_time",8:55AM
"end_time",9:21AM
"extra_monarch",0
"0-20m",0
"20-40m",0
"40-60m",0
"60-80m",0
"80-100m",0
"watch_monarch",0
"stems",0
