"wind",moderate
"sky",mostly_clear
"temp",67
"start_time",9:33AM
"end_time",9:45AM
"extra_monarch",1
"0-10m",0
"10-20m",0
"20-30m",0
"30-40m",0
"40-50m",0
"watch_monarch",0
"stems",0
