"Nectar Plant Species",0-20m,20-40m,40-50m
"white clover",13,30,0
"red clover",56,170,0
"common dandelion",0,2,0
"carolina horsenettle",0,5,0
"wild mustard",5,28,0
"common cinquefoil",0,5,0
