"Nectar Plant Species",0-20m,20-40m,40-60m,60-80m
"black eyed susan",50,50,35,87
"common yarrow",0,0,0,3
"eastern daisy fleabane",0,0,0,4
"carolina horsenettle",0,0,35,5
"common mullein",0,0,3,0
"whorled milkweed",0,3,0,0
