"Nectar Plant Species",0-20m,20-40m,40-50m
"carolina horsenettle",0,0,17
"golden alexanders",0,0,10
"morning glory",0,0,1
"pennsylvania smartweed",0,14,5
"velvetleaf",0,2,0
