"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,2,4,0,3,9,0,0,1
"foxglove beardtounge",13,105,30,55,50,0,7,0,60,0
"red clover",60,30,0,4,6,6,0,13,5,0
"golden alexander",10,3,2,0,0,0,2,0,3,0
"alfalfa",15,15,29,21,6,6,10,40,20,8
"white clover",0,3,0,0,0,0,0,4,0,0
"canada thistle",0,0,0,0,7,1,0,0,0,0
