Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m
common milkweed ramet,6,0,0,0,0
swamp milkweed ramet,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0
yellow coneflower,35,107,97,23,14
queen annes lace,2,0,0,0,0
wild parsnip,10,4,0,0,6
ox eye sunflower,0,6,1,5,0
black eyed susan,0,5,2,0,0
purple prairie clover,0,0,5,0,0
