"Start Time",10:55AM
"Bee Species","Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m
"solitary bee","canada thistle",8,0,0,0,0
"solitary bee","ox eye sunflower",2,2,0,0,0
"solitary bee","common milkweed",3,0,0,0,0
"bumble bee","canada thistle",1,0,0,0,0
