Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m
common milkweed ramet,11,5,22,14,0,0
swamp milkweed ramet,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0
wild bergamot,542,750,890,565,378,205
ox eye sunflower,1,0,10,20,0,0
carolina horsenettle,13,0,3,0,0,0
yellow coneflower,0,0,3,0,0,0
canada thistle,0,0,0,6,0,0
morning glory,0,0,0,17,4,12
bladder campion,0,0,0,10,0,0
