"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m
"common milkweed ramet",0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0
"smartweed",25,100,140,250,50
"red clover",120,40,15,20,1
"black medic",1,0,0,0,0
"eastern daisy fleabane",0,0,0,25,10
"prairie cinquefoil",0,0,0,0,10
