"Start Time",4:56PM
"Bee Species","Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"solitary bee","white clover",4,1,1,0,0,1,7,6,0,2
"solitary bee","yellow coneflower",1,0,0,1,0,0,0,4,1,0
"bumble bee","yellow coneflower",1,1,0,1,2,0,0,0,0,0
"bumble bee","red clover",0,0,2,0,1,0,0,0,1,0
"honey bee","ox eye sunflower",0,0,1,0,0,0,0,0,3,0
"solitary bee","ox eye sunflower",0,0,0,1,0,1,0,0,0,0
"honey bee","yellow coneflower",0,0,1,0,0,1,0,0,0,4
