"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m
"common milkweed ramet",0,0,4,7,0,0
"swamp milkweed ramet",0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0
"shepherds purse",22,60,0,8,0,5
"common dandelion",1,0,0,0,0,0
"wild mustard",20,0,0,0,0,0
"canada thistle",3,4,0,0,0,0
"foxglove beardtongue",0,1,0,0,0,0
"field pennycress",0,0,0,0,3,0
"culvers root",0,0,0,0,1,0
